product,title,rating,body
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Comfortable work chair,5.0,been using it for over a week now. its been wonderful. Easy to fix and quality is very good.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Awesome product. - Highly recemmend,5.0,Awesome product. Easy to assemble. It was so easy didn't go for professional fixing inspite of free installation. It mentions can take the weight upto 103 keeps and read previous review that it fit slim ppl but its just opposite 125 kg person can easily fit in and sit for 4-5 hours. Very strong and reliable materiel.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Free Assemble Service is Unavailable, Need to Assemble Yourself",4.0,"Product is good. I was provided ""free"" service to assemble the product, but it was cancelled by Amazon with a comment that ""the scope is out of work"", I couldn't figure that out. I finally had to assemble the chair myself."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Love it!,5.0,"I love this chair, I was able to assemble it by myself in no time.Very comfortable and stylish looking.I am totally happy with this purchase."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Perfect office / study chair,4.0,"Product is easy to assemble and looks premium. Very comfortable and ergonomic Design.Looks slightly over priced to me - hence 4 stars, else qualitywise 5 stars"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Perfect, exactly what I was looking for.",5.0,"Chair has a very premium feel to it, great cushions overall including handrests.Back support is quite nice (no support for neck though).Wheels are quite smooth and easy to move around.My favourite is ability to sit cross legged :)"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Return chair as I'm not able to fit into it properly and making me comfortable,2.0,"Hi, I would like to return this product. Today (23-Oct-2020) the technician assembled the chair. The chair unfortunately didn't fit me well and the seat is slanting downwards. It's very very comfortable. Please help me return this product and process the refund amount."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Nice material and comfortable chair,5.0,Nice material and comfortable chair. Very good for home use.Delivery was fast and I was able to assemble on my own in half an hour. Though amazon guys called for assembly.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Not worth it, not recommended",2.0,Cushioning is not sufficient. Wanted to return the item but after much discussion was told to disassemble and ship it back myself. Too much of a pain and effort to do that and have to bear with the loss.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good,5.0,"Nice product, somewhat overpriced, and, you have to assemble this chair by parts"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good product but I'm not happy because of their behaviour.....,4.0,Product is good not bad but the service of assemble is very bad ....I call the Amazon service and they are promising me to assemble within 48hours but till now assemble was not done
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",The product is cheap and excellent.,5.0,It is exactly the same as displayed and works fine. The seat cushion is comfortable and the wheels move soundlessly.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Poor build Quality,1.0,It's been just 5 months. The bottom screws have gotten loose. Cannot tighten it. The chair got tilted to one of its sides because if this. Poor build quality.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",This is really good chair with base and back support.,5.0,This is really good chair with base and back support. Quality of chair is also good and use for long work as well.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Leather sheet is some artificial material, smells a lot and pollutes air",1.0,"A Chinese made cheap product, shame on India for importing unworthy products, India could have made best chair at this price. This chair is a big pollutant, cheap leather. I requested for a return but they turned me down, saying not in the policy."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Great Product - Delighted,5.0,"Have been using this chair for 2 years now, great quality material, comfortable and affordable option. Don't know why Amazon is no more selling this product. Wanted to buy the similar chair for my wife."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Non Availablity of Spares!,1.0,"One of the handle broke during normal usage and amazonbasics does not provide replacment spares for these, so think before buying this. but thumbs up for the support staff, they provided me with the full refund!"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Solid Build Quality,5.0,Extremely satisfied with the built quality & Amazon Basics tag. Go for it.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not good,1.0,Pushback is not worth. Both cusions are very bad in quality. After some time of sitting started back and lowerbody pain.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Quite comfortable chair,5.0,"Quite comfortable chair even if you have to sit for hours, keeps your back straight, no back pain even after using it for hours"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Add few more bucks and go for higher model,3.0,not comfortable. I am writing this review after 1 year of use.Cushion not goodMaterial is coming off from chair it is peeling off in small piecesNow this chair looks very ugly.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Ergonomic Comfortable chair,5.0,Good comfortable chair. Installation was done by the supplier who sent a professional across to do it. Very satisfied.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not good for working in-front of a system,2.0,The tilt for the back support is too much and can't change. The back is fixed at the armrest at an uncomfortable angle.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Poor cushion quality,1.0,"The cushion is not good, feel like sitting on metal parts after usage of one month (my weight is 65 kgs)  will not recommend it to any one who is looking for a chair for prolonged sitting."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Value for money,5.0,Comfortable and reasonably priced product. Amazon also offers assembly service after the product delivery. Thanks to Amazon for quick delivery!
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",NICE CHAIR YOU CAN RELY ON,5.0,VERY EASY TO ASSEMBLE. I am writing this after using 1 year. GO FOR IT !Height adjustment could be little higher but overall good I am happy.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not So Great at Cushioning,2.0,The seat cushions tends to get stiff and drastically reduced in size ..kind of squeezed over time of long usage.  Just an ok product should have been for Rs 3500 Not more than that. Disappointing Product
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Looks are deceptive,1.0,This product is waste of money .The seat and back rest is not at all comfortable. On top of it of you want to return that's not possible .
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Low quality artificial leather,1.0,The chair is sturdy but the material used of low quality artificial leather. Its peeling off automatically and it has become worst.
